Number of routes:,5
Number of unassigned:,0

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
77,88,30,2,1,5
70,95,30,6,1,5
46,30,32,10,1,5
83,72,55,11,1,5
28,23,55,43,1,5
15,20,80,44,1,5
42,33,32,53,1,5
84,70,58,57,1,5
63,50,40,58,1,5
22,28,52,59,1,5
37,2,40,79,1,5
50,26,32,86,1,5
7,40,66,148,1,5
21,30,52,151,1,5
29,20,50,161,1,5
64,48,30,169,1,5
61,50,30,177,1,5
66,47,35,192,1,5
26,25,55,197,1,5
16,20,85,200,1,5
2,45,70,204,1,5
38,0,40,212,1,5
57,40,15,248,1,5
31,10,35,322,1,5
13,22,75,354,1,5
25,25,52,354,1,5
17,18,75,360,1,5
86,66,55,362,1,5
34,8,45,365,1,5
20,30,50,383,1,5
96,60,80,409,1,5
33,8,40,414,1,5
36,5,45,438,1,5
62,50,35,440,1,5
40,35,30,449,1,5
