Number of routes:,3
Number of unassigned:,12

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
3,42,66,16,1,3
53,44,5,53,0,3
81,85,35,57,0,3
17,18,75,67,0,3
76,90,35,70,0,3
98,58,75,71,1,3
88,65,60,76,1,3
99,55,80,78,1,3
11,35,69,85,1,3
48,28,30,86,1,3
10,35,66,96,1,3
35,5,35,97,1,3
23,28,55,102,1,3
1,45,68,111,1,3
71,95,35,113,0,3
38,0,40,123,0,3
72,53,30,143,1,3
2,45,70,147,1,3
55,42,15,158,1,3
62,50,35,162,1,3
87,65,55,163,1,3
30,20,55,175,1,3
19,15,80,211,1,3
6,40,69,215,1,3
4,42,68,225,1,3
61,50,30,233,1,3
70,95,30,234,1,3
49,28,35,238,1,3
68,45,30,301,1,3
73,92,30,304,1,3
15,20,80,336,1,3
37,2,40,359,1,3
24,25,50,390,1,3
25,25,52,409,1,3
36,5,45,443,1,3
91,60,60,456,1,3
65,48,40,472,1,3
