Number of routes:,5
Number of unassigned:,4

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
83,72,55,18,1,5
50,26,32,26,1,5
69,45,35,36,1,5
88,65,60,36,1,5
99,55,80,45,1,5
7,40,66,50,1,5
60,35,5,79,1,5
33,8,40,88,1,5
38,0,40,119,1,5
67,47,40,123,1,5
6,40,69,125,1,5
16,20,85,129,0,5
10,35,66,138,1,5
3,42,66,147,1,5
37,2,40,149,1,5
53,44,5,152,1,5
92,67,85,158,1,5
87,65,55,161,1,5
31,10,35,168,1,5
21,30,52,170,1,5
56,40,5,197,1,5
14,22,85,203,1,5
42,33,32,244,1,5
20,30,50,250,1,5
76,90,35,276,1,5
30,20,55,294,1,5
45,30,30,369,1,5
78,88,35,372,1,5
2,45,70,393,1,5
61,50,30,394,1,5
70,95,30,397,0,5
94,65,82,398,1,5
1,45,68,404,1,5
97,60,85,419,1,5
17,18,75,438,1,5
18,15,75,446,1,5
47,30,35,449,1,5
55,42,15,463,1,5
32,10,40,475,1,5
