Number of routes:,3
Number of unassigned:,14

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
75,45,65,0,1,3
28,23,55,8,1,3
9,38,70,9,1,3
39,0,45,11,1,3
18,15,75,81,0,3
57,40,15,92,1,3
60,35,5,92,1,3
50,26,32,96,1,3
25,25,52,97,1,3
91,60,60,104,1,3
94,65,82,120,1,3
82,75,55,133,1,3
83,72,55,142,1,3
8,38,68,142,1,3
88,65,60,149,1,3
37,2,40,160,0,3
22,28,52,171,1,3
4,42,68,173,1,3
53,44,5,184,0,3
97,60,85,196,1,3
40,35,30,198,1,3
11,35,69,206,1,3
23,28,55,219,1,3
93,65,85,238,1,3
66,47,35,264,1,3
47,30,35,279,1,3
76,90,35,290,0,3
15,20,80,291,1,3
54,42,10,371,1,3
45,30,30,374,1,3
30,20,55,384,1,3
69,45,35,407,1,3
36,5,45,411,1,3
70,95,30,420,0,3
55,42,15,438,1,3
98,58,75,463,1,3
35,5,35,473,0,3
73,92,30,476,0,3
