Number of routes:,1
Number of unassigned:,40

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
24,25,50,1,1,1
11,35,69,2,1,1
16,20,85,21,0,1
99,55,80,30,0,1
86,66,55,31,1,1
36,5,45,39,0,1
45,30,30,44,0,1
1,45,68,64,1,1
61,50,30,84,0,1
44,32,30,88,0,1
84,70,58,88,0,1
51,25,30,104,0,1
3,42,66,128,1,1
100,55,85,128,1,1
15,20,80,144,0,1
38,0,40,183,0,1
32,10,40,187,0,1
83,72,55,229,1,1
10,35,66,230,0,1
87,65,55,241,1,1
55,42,15,241,0,1
53,44,5,284,0,1
41,35,32,288,0,1
6,40,69,306,1,1
39,0,45,312,0,1
82,75,55,319,0,1
46,30,32,337,1,1
66,47,35,345,1,1
71,95,35,418,0,1
4,42,68,422,1,1
69,45,35,433,1,1
80,85,25,433,0,1
13,22,75,461,0,1
22,28,52,472,1,1
