Number of routes:,4
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
82,75,55,22,1,4
9,38,70,24,1,4
11,35,69,25,1,4
32,10,40,32,1,4
14,22,85,61,1,4
67,47,40,72,1,4
87,65,55,95,1,4
37,2,40,102,1,4
70,95,30,108,1,4
10,35,66,120,1,4
68,45,30,129,1,4
26,25,55,134,1,4
22,28,52,143,1,4
61,50,30,152,1,4
65,48,40,180,1,4
95,62,80,183,1,4
57,40,15,183,1,4
89,63,58,195,1,4
48,28,30,222,1,4
40,35,30,224,1,4
50,26,32,251,1,4
66,47,35,285,1,4
73,92,30,286,1,4
3,42,66,298,1,4
27,23,52,338,1,4
52,25,35,358,1,4
54,42,10,367,1,4
4,42,68,399,1,4
99,55,80,407,1,4
58,38,5,450,1,4
80,85,25,465,0,4
84,70,58,468,1,4
62,50,35,479,1,4
