Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
6,40,69,3,1,5
85,68,60,6,1,5
82,75,55,9,1,5
97,60,85,22,1,5
66,47,35,24,1,5
12,25,85,24,1,5
90,60,55,56,1,5
10,35,66,57,1,5
92,67,85,75,1,5
24,25,50,91,1,5
15,20,80,108,1,5
5,42,65,110,1,5
36,5,45,112,1,5
29,20,50,122,1,5
52,25,35,140,1,5
11,35,69,141,1,5
67,47,40,149,1,5
28,23,55,158,1,5
9,38,70,158,1,5
47,30,35,188,1,5
45,30,30,198,1,5
96,60,80,203,1,5
55,42,15,213,1,5
56,40,5,234,1,5
86,66,55,258,1,5
78,88,35,262,1,5
48,28,30,275,1,5
61,50,30,285,1,5
49,28,35,302,1,5
26,25,55,307,1,5
33,8,40,314,1,5
44,32,30,317,1,5
43,33,35,355,1,5
3,42,66,366,1,5
87,65,55,398,1,5
23,28,55,399,1,5
76,90,35,402,1,5
65,48,40,408,1,5
50,26,32,420,1,5
80,85,25,425,1,5
72,53,30,436,1,5
74,53,35,455,1,5
93,65,85,465,0,5
