Number of routes:,3
Number of unassigned:,14

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
11,35,69,10,1,3
59,38,15,37,1,3
13,22,75,43,1,3
72,53,30,43,1,3
63,50,40,52,1,3
65,48,40,70,1,3
62,50,35,104,1,3
15,20,80,106,0,3
84,70,58,111,0,3
64,48,30,117,1,3
22,28,52,131,1,3
45,30,30,140,1,3
95,62,80,140,1,3
99,55,80,142,1,3
28,23,55,144,1,3
70,95,30,149,0,3
37,2,40,154,1,3
5,42,65,159,1,3
32,10,40,162,1,3
10,35,66,165,1,3
14,22,85,260,1,3
24,25,50,263,1,3
34,8,45,266,1,3
93,65,85,266,0,3
31,10,35,270,1,3
60,35,5,277,1,3
76,90,35,286,0,3
73,92,30,324,0,3
4,42,68,339,1,3
91,60,60,344,1,3
12,25,85,354,1,3
16,20,85,371,1,3
66,47,35,387,1,3
69,45,35,400,1,3
49,28,35,432,1,3
82,75,55,445,1,3
92,67,85,479,0,3
