Number of routes:,3
Number of unassigned:,6

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
65,48,40,1,1,3
33,8,40,19,1,3
72,53,30,24,1,3
28,23,55,38,1,3
42,33,32,44,1,3
29,20,50,45,1,3
94,65,82,52,0,3
40,35,30,55,1,3
59,38,15,60,1,3
82,75,55,65,0,3
19,15,80,73,1,3
89,63,58,80,1,3
83,72,55,95,1,3
78,88,35,133,1,3
13,22,75,186,1,3
81,85,35,211,1,3
73,92,30,217,1,3
44,32,30,238,1,3
69,45,35,243,1,3
24,25,50,245,1,3
7,40,66,279,1,3
43,33,35,296,1,3
34,8,45,318,1,3
63,50,40,334,1,3
30,20,55,350,1,3
36,5,45,366,1,3
92,67,85,382,0,3
67,47,40,386,1,3
32,10,40,400,1,3
37,2,40,400,1,3
55,42,15,405,1,3
3,42,66,415,1,3
