Number of routes:,4
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
87,65,55,9,1,4
99,55,80,14,1,4
4,42,68,19,1,4
2,45,70,62,1,4
47,30,35,63,1,4
1,45,68,78,1,4
17,18,75,84,1,4
66,47,35,112,1,4
84,70,58,114,1,4
61,50,30,132,1,4
13,22,75,142,1,4
93,65,85,177,1,4
48,28,30,202,1,4
35,5,35,233,1,4
59,38,15,234,1,4
72,53,30,237,1,4
34,8,45,243,1,4
10,35,66,248,1,4
29,20,50,249,1,4
69,45,35,280,1,4
6,40,69,287,1,4
7,40,66,320,1,4
75,45,65,333,1,4
97,60,85,373,1,4
96,60,80,403,1,4
12,25,85,421,1,4
9,38,70,423,1,4
92,67,85,434,0,4
36,5,45,460,1,4
20,30,50,465,1,4
82,75,55,465,1,4
