Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
60,35,5,3,1,5
81,85,35,8,1,5
8,38,68,12,1,5
65,48,40,22,1,5
7,40,66,30,1,5
19,15,80,30,1,5
46,30,32,30,1,5
24,25,50,38,1,5
40,35,30,59,1,5
29,20,50,66,1,5
37,2,40,89,1,5
21,30,52,90,1,5
76,90,35,100,1,5
26,25,55,116,1,5
89,63,58,131,1,5
52,25,35,136,1,5
38,0,40,137,1,5
66,47,35,150,1,5
10,35,66,157,1,5
20,30,50,180,1,5
11,35,69,181,1,5
53,44,5,199,1,5
33,8,40,204,1,5
74,53,35,213,1,5
28,23,55,215,1,5
49,28,35,226,1,5
1,45,68,239,1,5
87,65,55,256,1,5
34,8,45,289,1,5
4,42,68,306,1,5
35,5,35,311,1,5
92,67,85,322,1,5
3,42,66,323,1,5
17,18,75,356,1,5
15,20,80,364,1,5
86,66,55,368,1,5
75,45,65,375,1,5
61,50,30,385,1,5
64,48,30,396,1,5
93,65,85,413,1,5
13,22,75,436,1,5
55,42,15,440,1,5
31,10,35,477,0,5
