Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
49,28,35,18,1,5
95,62,80,36,1,5
99,55,80,73,1,5
21,30,52,73,1,5
80,85,25,76,1,5
31,10,35,83,1,5
8,38,68,85,1,5
71,95,35,93,1,5
84,70,58,125,1,5
61,50,30,148,1,5
68,45,30,148,1,5
69,45,35,159,1,5
27,23,52,164,1,5
4,42,68,172,1,5
53,44,5,191,1,5
6,40,69,196,1,5
38,0,40,224,1,5
29,20,50,250,1,5
11,35,69,251,1,5
25,25,52,253,1,5
16,20,85,263,1,5
88,65,60,284,1,5
17,18,75,305,1,5
79,87,30,310,0,5
33,8,40,314,1,5
26,25,55,324,1,5
100,55,85,325,1,5
32,10,40,334,1,5
58,38,5,349,1,5
9,38,70,378,1,5
37,2,40,379,1,5
30,20,55,385,1,5
73,92,30,394,1,5
64,48,30,395,1,5
42,33,32,409,1,5
98,58,75,409,1,5
7,40,66,419,1,5
40,35,30,473,1,5
