Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
91,60,60,7,1,5
66,47,35,17,1,5
76,90,35,23,1,5
77,88,30,39,1,5
72,53,30,45,1,5
48,28,30,48,1,5
26,25,55,55,1,5
74,53,35,55,1,5
8,38,68,70,1,5
22,28,52,80,1,5
69,45,35,88,1,5
30,20,55,94,1,5
23,28,55,100,1,5
47,30,35,104,1,5
32,10,40,110,1,5
100,55,85,111,1,5
65,48,40,113,1,5
50,26,32,132,1,5
41,35,32,140,1,5
79,87,30,144,1,5
12,25,85,159,1,5
67,47,40,164,1,5
98,58,75,169,1,5
7,40,66,172,1,5
68,45,30,177,1,5
71,95,35,197,1,5
35,5,35,209,1,5
80,85,25,228,0,5
49,28,35,240,1,5
95,62,80,244,1,5
62,50,35,258,1,5
78,88,35,306,1,5
3,42,66,309,1,5
14,22,85,312,1,5
42,33,32,320,1,5
2,45,70,322,1,5
55,42,15,346,1,5
64,48,30,348,1,5
73,92,30,351,1,5
39,0,45,352,1,5
58,38,5,414,1,5
88,65,60,417,1,5
43,33,35,437,1,5
38,0,40,441,1,5
31,10,35,456,1,5
90,60,55,473,1,5
