Number of routes:,4
Number of unassigned:,10

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
72,53,30,7,1,4
38,0,40,24,1,4
6,40,69,27,1,4
76,90,35,52,0,4
59,38,15,68,1,4
95,62,80,73,1,4
40,35,30,84,1,4
75,45,65,86,1,4
33,8,40,86,1,4
56,40,5,106,1,4
15,20,80,113,1,4
57,40,15,118,1,4
28,23,55,131,1,4
80,85,25,137,0,4
7,40,66,138,1,4
12,25,85,149,1,4
81,85,35,152,0,4
29,20,50,154,1,4
27,23,52,156,1,4
48,28,30,162,1,4
1,45,68,175,1,4
37,2,40,230,1,4
67,47,40,234,1,4
2,45,70,234,1,4
35,5,35,255,1,4
26,25,55,263,1,4
22,28,52,278,1,4
19,15,80,283,1,4
97,60,85,286,1,4
55,42,15,288,1,4
10,35,66,317,1,4
71,95,35,335,0,4
83,72,55,362,1,4
52,25,35,386,1,4
45,30,30,388,1,4
5,42,65,402,1,4
20,30,50,406,1,4
34,8,45,412,1,4
25,25,52,422,1,4
70,95,30,457,0,4
41,35,32,460,1,4
42,33,32,465,1,4
