Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
16,20,85,0,1,5
13,22,75,19,1,5
36,5,45,22,1,5
73,92,30,41,1,5
87,65,55,47,1,5
65,48,40,52,1,5
62,50,35,64,1,5
91,60,60,69,1,5
77,88,30,91,1,5
83,72,55,110,1,5
17,18,75,112,1,5
2,45,70,134,1,5
32,10,40,141,1,5
7,40,66,147,1,5
80,85,25,148,0,5
43,33,35,173,1,5
92,67,85,176,1,5
52,25,35,178,1,5
60,35,5,179,1,5
41,35,32,208,1,5
53,44,5,211,1,5
78,88,35,220,1,5
95,62,80,221,1,5
82,75,55,221,1,5
51,25,30,244,1,5
28,23,55,263,1,5
14,22,85,280,1,5
88,65,60,286,1,5
25,25,52,313,1,5
26,25,55,342,1,5
45,30,30,363,1,5
50,26,32,365,1,5
24,25,50,368,1,5
89,63,58,407,1,5
84,70,58,410,1,5
90,60,55,422,1,5
