Number of routes:,3
Number of unassigned:,12

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
15,20,80,6,1,3
2,45,70,14,1,3
76,90,35,24,0,3
94,65,82,28,1,3
87,65,55,31,1,3
20,30,50,57,1,3
5,42,65,68,1,3
51,25,30,108,1,3
24,25,50,109,1,3
68,45,30,123,1,3
22,28,52,125,1,3
59,38,15,128,1,3
9,38,70,143,1,3
21,30,52,152,1,3
35,5,35,169,1,3
98,58,75,170,1,3
74,53,35,171,1,3
89,63,58,172,1,3
37,2,40,187,1,3
65,48,40,195,1,3
29,20,50,200,1,3
31,10,35,218,1,3
27,23,52,218,1,3
53,44,5,242,0,3
52,25,35,283,1,3
91,60,60,298,1,3
66,47,35,351,1,3
19,15,80,354,0,3
97,60,85,373,0,3
45,30,30,391,1,3
73,92,30,398,1,3
81,85,35,398,1,3
64,48,30,402,1,3
1,45,68,408,1,3
57,40,15,426,1,3
82,75,55,451,1,3
92,67,85,455,0,3
39,0,45,470,0,3
