Number of routes:,4
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
72,53,30,25,1,4
43,33,35,40,1,4
97,60,85,54,0,4
39,0,45,59,1,4
55,42,15,59,1,4
57,40,15,63,1,4
33,8,40,66,1,4
99,55,80,75,1,4
52,25,35,81,1,4
16,20,85,104,1,4
69,45,35,118,1,4
84,70,58,186,1,4
90,60,55,209,1,4
45,30,30,232,1,4
22,28,52,239,1,4
8,38,68,243,1,4
79,87,30,244,1,4
62,50,35,250,1,4
11,35,69,252,1,4
35,5,35,252,1,4
47,30,35,263,1,4
21,30,52,271,1,4
13,22,75,290,1,4
58,38,5,342,1,4
26,25,55,358,1,4
6,40,69,366,1,4
73,92,30,402,1,4
88,65,60,413,1,4
27,23,52,413,1,4
56,40,5,429,1,4
87,65,55,429,1,4
100,55,85,440,1,4
10,35,66,443,1,4
