Number of routes:,1
Number of unassigned:,48

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
36,5,45,1,0,1
65,48,40,3,1,1
77,88,30,4,0,1
60,35,5,11,0,1
66,47,35,21,1,1
50,26,32,22,1,1
81,85,35,23,0,1
58,38,5,35,0,1
13,22,75,93,0,1
94,65,82,93,0,1
39,0,45,103,0,1
61,50,30,122,1,1
48,28,30,143,0,1
82,75,55,146,0,1
88,65,60,151,0,1
59,38,15,161,0,1
4,42,68,169,1,1
47,30,35,180,1,1
29,20,50,181,1,1
45,30,30,185,1,1
73,92,30,192,0,1
87,65,55,201,0,1
62,50,35,212,0,1
30,20,55,233,1,1
46,30,32,233,0,1
27,23,52,253,1,1
99,55,80,253,0,1
15,20,80,259,1,1
97,60,85,275,0,1
85,68,60,283,0,1
98,58,75,315,0,1
31,10,35,332,0,1
54,42,10,335,0,1
68,45,30,339,1,1
55,42,15,364,1,1
40,35,30,406,1,1
42,33,32,415,1,1
79,87,30,418,0,1
63,50,40,419,1,1
20,30,50,468,1,1
43,33,35,471,1,1
100,55,85,472,0,1
