Number of routes:,3
Number of unassigned:,12

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
4,42,68,2,1,3
44,32,30,12,0,3
31,10,35,18,0,3
57,40,15,19,1,3
19,15,80,21,1,3
12,25,85,28,1,3
63,50,40,36,1,3
42,33,32,36,1,3
55,42,15,49,1,3
80,85,25,55,0,3
46,30,32,57,1,3
3,42,66,65,1,3
45,30,30,76,1,3
98,58,75,83,1,3
50,26,32,90,1,3
84,70,58,92,0,3
48,28,30,96,1,3
91,60,60,99,1,3
16,20,85,99,0,3
65,48,40,106,1,3
2,45,70,108,1,3
47,30,35,110,1,3
34,8,45,124,1,3
62,50,35,143,1,3
93,65,85,152,0,3
53,44,5,161,1,3
60,35,5,182,1,3
58,38,5,193,1,3
27,23,52,219,1,3
20,30,50,226,1,3
8,38,68,233,1,3
26,25,55,235,1,3
81,85,35,235,1,3
85,68,60,308,1,3
95,62,80,328,1,3
18,15,75,342,1,3
96,60,80,407,1,3
40,35,30,422,1,3
28,23,55,446,1,3
90,60,55,447,1,3
68,45,30,470,1,3
