Number of routes:,5
Number of unassigned:,0

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
78,88,35,26,1,5
12,25,85,27,1,5
99,55,80,31,1,5
71,95,35,58,1,5
7,40,66,69,1,5
14,22,85,79,1,5
13,22,75,106,1,5
64,48,30,109,1,5
20,30,50,118,1,5
42,33,32,135,1,5
88,65,60,138,1,5
63,50,40,205,1,5
98,58,75,211,1,5
51,25,30,216,1,5
24,25,50,224,1,5
53,44,5,227,1,5
43,33,35,229,1,5
5,42,65,259,1,5
3,42,66,260,1,5
44,32,30,301,1,5
15,20,80,302,1,5
81,85,35,310,1,5
29,20,50,329,1,5
85,68,60,331,1,5
9,38,70,334,1,5
46,30,32,335,1,5
75,45,65,350,1,5
52,25,35,377,1,5
32,10,40,387,1,5
94,65,82,388,1,5
37,2,40,400,1,5
1,45,68,423,1,5
97,60,85,430,1,5
17,18,75,464,1,5
86,66,55,466,1,5
