Number of routes:,5
Number of unassigned:,2

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
95,62,80,10,1,5
12,25,85,10,1,5
51,25,30,25,1,5
30,20,55,72,1,5
32,10,40,110,1,5
17,18,75,113,1,5
55,42,15,133,1,5
18,15,75,135,1,5
48,28,30,141,1,5
19,15,80,150,1,5
49,28,35,166,1,5
74,53,35,171,1,5
35,5,35,183,1,5
10,35,66,192,1,5
81,85,35,197,1,5
33,8,40,206,1,5
84,70,58,214,1,5
70,95,30,233,0,5
99,55,80,244,1,5
75,45,65,245,1,5
8,38,68,249,1,5
77,88,30,255,1,5
9,38,70,282,1,5
57,40,15,283,1,5
14,22,85,285,1,5
54,42,10,316,1,5
31,10,35,329,1,5
6,40,69,332,1,5
59,38,15,333,1,5
89,63,58,342,1,5
7,40,66,357,1,5
90,60,55,361,1,5
37,2,40,389,1,5
86,66,55,399,1,5
1,45,68,406,1,5
94,65,82,419,1,5
39,0,45,429,1,5
66,47,35,448,1,5
