Number of routes:,5
Number of unassigned:,4

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
95,62,80,6,0,5
40,35,30,7,1,5
18,15,75,24,1,5
15,20,80,37,1,5
76,90,35,38,1,5
71,95,35,41,1,5
33,8,40,44,1,5
4,42,68,51,1,5
21,30,52,57,1,5
83,72,55,60,1,5
88,65,60,62,1,5
66,47,35,72,1,5
98,58,75,75,1,5
29,20,50,75,1,5
61,50,30,79,1,5
28,23,55,128,1,5
12,25,85,172,1,5
1,45,68,182,1,5
93,65,85,202,1,5
24,25,50,205,1,5
7,40,66,211,1,5
75,45,65,212,1,5
100,55,85,214,1,5
68,45,30,214,1,5
56,40,5,214,1,5
30,20,55,248,1,5
87,65,55,270,1,5
25,25,52,285,1,5
97,60,85,325,1,5
35,5,35,326,1,5
2,45,70,395,1,5
64,48,30,395,1,5
85,68,60,399,1,5
19,15,80,413,1,5
39,0,45,476,0,5
